m = 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
     0.180    1.9775    0.0996
     0.190    1.9261    0.0668
     0.200    1.8846    0.0462
     0.210    1.8495    0.0346
     0.214    1.8383    0.0319
     0.218    1.8276    0.0299
     0.219    1.8238    0.0293
     0.221    1.8177    0.0285
     0.225    1.8080    0.0277
     0.230    1.7986    0.0273
     0.234    1.7914    0.0272
     0.238    1.7838    0.0274
     0.240    1.7816    0.0274
     0.250    1.7686    0.0283
     0.258    1.7598    0.0284
     0.274    1.7466    0.0287
     0.285    1.7392    0.0288
     0.292    1.7351    0.0289
     0.310    1.7261    0.0291
     0.326    1.7200    0.0292
     0.344    1.7144    0.0293
     0.365    1.7091    0.0294
     0.381    1.7058    0.0295
     0.400    1.7028    0.0295
     0.434    1.6983    0.0296
     0.440    1.6977    0.0296
     0.486    1.6940    0.0297
     0.550    1.6904    0.0299
     0.656    1.6878    0.0301
     0.700    1.6873    0.0302
     0.800    1.6863    0.0304
     0.900    1.6862    0.0306
     1.000    1.6863    0.0308
     1.127    1.6863    0.0310
     1.240    1.6861    0.0312
     1.250    1.6859    0.0312
     1.305    1.6859    0.0314
     1.378    1.6860    0.0316
     1.459    1.6856    0.0319
     1.550    1.6856    0.0322
     1.650    1.6851    0.0325
     1.771    1.6845    0.0328
     1.907    1.6835    0.0333
     2.066    1.6825    0.0340
     2.122    1.6820    0.0342
     2.200    1.6811    0.0345
     2.254    1.6807    0.0347
     2.424    1.6789    0.0354
     2.480    1.6780    0.0356
     2.755    1.6744    0.0368
     3.100    1.6684    0.0383
     3.263    1.6653    0.0391
     3.401    1.6624    0.0398
     3.647    1.6567    0.0407
     3.875    1.6507    0.0414
     4.133    1.6429    0.0423
     4.428    1.6327    0.0430
     4.769    1.6187    0.0439
     4.999    1.6075    0.0448
     5.166    1.5988    0.0455
     5.510    1.5785    0.0475
     5.636    1.5703    0.0484
     5.904    1.5510    0.0506
     6.199    1.5276    0.0533
     6.358    1.5133    0.0545
     6.525    1.4968    0.0554
     6.702    1.4770    0.0561
